start	11	2059	6	14	6
	375	15	-77.962952	23.733057	1.007734e+03	2.070537e+01	2059	6	14	6
	372	22	-78.141327	24.523905	1.008083e+03	1.627843e+01	2059	6	14	12
	368	30	-78.415344	25.442230	1.009359e+03	1.615613e+01	2059	6	14	18
	374	39	-77.503723	26.253733	1.009125e+03	1.414214e+07	2059	6	15	0
	373	49	-77.372925	27.322794	1.010280e+03	1.414214e+07	2059	6	15	6
	368	53	-77.865967	27.852747	1.011157e+03	1.414214e+07	2059	6	15	12
	364	54	-78.318024	28.043903	1.011506e+03	1.414214e+07	2059	6	15	18
	371	63	-77.256165	28.838406	1.010257e+03	1.414214e+07	2059	6	16	0
	372	71	-76.927429	29.658356	1.010035e+03	1.414214e+07	2059	6	16	6
	357	83	-78.460663	31.258587	1.005209e+03	1.414214e+07	2059	6	16	12
	362	103	-77.314392	33.272148	1.002581e+03	1.414214e+07	2059	6	16	18
start	7	2059	7	10	12
	342	77	-80.463440	30.922268	1.009728e+03	1.414214e+07	2059	7	10	12
	345	82	-79.977753	31.396891	1.008212e+03	1.414214e+07	2059	7	10	18
	346	79	-79.921875	31.058060	1.008188e+03	1.414214e+07	2059	7	11	0
	352	84	-79.058044	31.469313	1.009589e+03	1.414214e+07	2059	7	11	6
	375	94	-75.928894	32.015099	1.013753e+03	1.414214e+07	2059	7	11	12
	398	126	-72.016144	34.779209	1.015388e+03	1.414214e+07	2059	7	11	18
	409	124	-70.690002	34.247101	1.014617e+03	1.414214e+07	2059	7	12	0
start	24	2059	7	10	18
	244	7	-93.203400	24.579468	1.003449e+03	2.175616e+01	2059	7	10	18
	247	11	-92.832642	24.990700	1.001310e+03	1.414214e+07	2059	7	11	0
	258	25	-91.446838	26.420847	9.983859e+02	1.414214e+07	2059	7	11	6
	262	41	-90.845306	28.105396	9.898242e+02	2.949161e+01	2059	7	11	12
	269	60	-89.818359	30.093084	9.897104e+02	2.657248e+01	2059	7	11	18
	271	77	-89.398010	31.909033	9.958180e+02	1.596663e+01	2059	7	12	0
	276	93	-88.579468	33.592148	1.003018e+03	1.414214e+07	2059	7	12	6
	278	110	-88.110229	35.412239	1.006731e+03	1.030063e+01	2059	7	12	12
	283	121	-87.294800	36.549591	1.009784e+03	8.562149e+00	2059	7	12	18
	313	141	-82.867798	38.296158	1.009170e+03	1.414214e+07	2059	7	13	0
